conv_id,conversation_hash,in_corpus,source,note
C001,00246723ce2c240780657b21b7cc8a22,1,llm_pipeline,
C002,0083fce71cbdac49cfe6689ecb9b8a7c,1,llm_pipeline,
C003,00ab50477d17985dc02ab244e2a594ff,1,llm_pipeline,
C004,0143bd43590f07daf85a99dbe7950048,1,llm_pipeline,
C005,014510269b3045362d8c8a7933ed6c4d,1,llm_pipeline,
C006,01914c5de1154edc7b199cf07aadde74,0,llm_pipeline,
C007,01bf735cce675bde918845d1a27ddf4e,1,llm_pipeline,
C008,0258767c7f7314d4c9d36bac1c74186e,1,llm_pipeline,
C009,02c5483790a69005f1cae402e7122c03,1,llm_pipeline,
C010,02f363e64043e012a476eb333f3557ef,1,llm_pipeline,
C011,031fcbce73ca9ff529a80412eb35d752,1,llm_pipeline,
C012,050da46038e6350c4ba5296eb731435c,1,llm_pipeline,
C013,05a0e3829b71e9b037146193e803cdbf,1,llm_pipeline,
C014,05d383ff45cbb99783559c7adb74e673,1,llm_pipeline,
C015,0612528d66fb1e3dc06ee9ba77030c2e,0,llm_pipeline,
C016,06175d04fad92d05925f14150db14e85,1,llm_pipeline,
C017,065afce64c1e5e56254f10a191190575,1,llm_pipeline,
C018,067e77740ae7e1a1be1285d7b7e5e82b,1,llm_pipeline,
C019,06ffda0c3ba5795fe18a58e064c4e0bc,1,llm_pipeline,
C020,07214818b964927281d537d1d3affee4,1,llm_pipeline,
C021,074555a89975b7a274ff9c6bc9836949,1,llm_pipeline,
C022,07c5718f553cc9c1d8e6186fe79e536f,0,llm_pipeline,
C023,0866f4e89d4b84dc2a3f6f564e375d62,1,llm_pipeline,
C024,0886cec9aa0b0e40babad378f05067e0,1,llm_pipeline,
C025,08de76bb97bc4d54f286032e20f6410a,1,llm_pipeline,
C026,08f7f5d0ee7dbaa7f2ed119c0108c7ac,1,llm_pipeline,
C027,093b8472acec5037398cf20ba1110ca4,1,llm_pipeline,
C028,0a1f8e8c0177965309fdf906e25fdb6a,1,llm_pipeline,
C029,0a43263cb81993d23fe5721decacbc58,0,llm_pipeline,
C030,0a81bbe6c65cf471c98995248a69b206,1,llm_pipeline,
C031,0ae5a625636e787595b48d2ded5c75d8,1,llm_pipeline,
C032,0b37d51c028832b7c452a33c60810dcd,1,llm_pipeline,
