conversation_hash,first_turn_cluster,basis,cluster_size,same_ip,kept_hash,collapsed,jaccard_to_kept,hashed_ip,timestamp,labels_final,final_source
8ecc6da2da51396cbece6f239b17d5e0,ft-01,jaccard+manual:repl-template,9,1,8ecc6da2da51396cbece6f239b17d5e0,0,1.0,9c8b3188a7d593bb90f7f6f724ed2d3cfdb1d29aba4e7cc050e043e8257b1b50,2024-02-27 23:20:19+00:00,,elle
3b70e78bd841fb3d16c1d8eb262c5fe6,ft-01,jaccard+manual:repl-template,9,1,8ecc6da2da51396cbece6f239b17d5e0,1,0.156,9c8b3188a7d593bb90f7f6f724ed2d3cfdb1d29aba4e7cc050e043e8257b1b50,2024-02-27 23:27:54+00:00,,elle
b00adfaf572773c02a95c5c3ef7866f6,ft-01,jaccard+manual:repl-template,9,1,8ecc6da2da51396cbece6f239b17d5e0,1,0.879,9c8b3188a7d593bb90f7f6f724ed2d3cfdb1d29aba4e7cc050e043e8257b1b50,2024-02-27 23:43:04+00:00,,elle
c808a4526bd683cb4366d59272dbea94,ft-01,jaccard+manual:repl-template,9,1,8ecc6da2da51396cbece6f239b17d5e0,1,0.822,9c8b3188a7d593bb90f7f6f724ed2d3cfdb1d29aba4e7cc050e043e8257b1b50,2024-02-27 23:45:39+00:00,,elle
9b1509d01183a4b0c2099ff30a4dab05,ft-01,jaccard+manual:repl-template,9,1,8ecc6da2da51396cbece6f239b17d5e0,1,0.772,9c8b3188a7d593bb90f7f6f724ed2d3cfdb1d29aba4e7cc050e043e8257b1b50,2024-02-27 23:47:09+00:00,,elle
eecc4d6f71278753b54a1b40dffa6df1,ft-01,jaccard+manual:repl-template,9,1,8ecc6da2da51396cbece6f239b17d5e0,1,0.779,9c8b3188a7d593bb90f7f6f724ed2d3cfdb1d29aba4e7cc050e043e8257b1b50,2024-02-27 23:47:30+00:00,,elle
6ec2ff881b23fbbeced6baa275321e17,ft-01,jaccard+manual:repl-template,9,1,8ecc6da2da51396cbece6f239b17d5e0,1,0.337,9c8b3188a7d593bb90f7f6f724ed2d3cfdb1d29aba4e7cc050e043e8257b1b50,2024-02-27 23:51:11+00:00,,elle
d58e7a59b9df6e148373eb7ccd000229,ft-01,jaccard+manual:repl-template,9,1,8ecc6da2da51396cbece6f239b17d5e0,1,0.721,9c8b3188a7d593bb90f7f6f724ed2d3cfdb1d29aba4e7cc050e043e8257b1b50,2024-02-28 02:05:20+00:00,,elle
27b4feb57f2e64ad8f2a1e97eec86a0f,ft-01,jaccard+manual:repl-template,9,1,8ecc6da2da51396cbece6f239b17d5e0,1,0.715,9c8b3188a7d593bb90f7f6f724ed2d3cfdb1d29aba4e7cc050e043e8257b1b50,2024-02-28 02:05:41+00:00,,elle
f8f602c75a192b161cd559a6e31d10b6,ft-02,jaccard,6,1,f8f602c75a192b161cd559a6e31d10b6,0,1.0,b45a5584b3855b35df8889a9c280eb7ac64847d16df0fc10c58bd64db17dcee7,2023-05-01 18:33:58+00:00,,elle
