hashed_ip,total_convs
c857c8d3b2c95cd61b401ed2b81ea28a9ee41db5b34b08c3231f84cf27117e9e,154
014ede1867855b1ed6e6f7d50503a298dd5c3ad3c6f2ed603d404c5947a1af9b,132
d5d0c022a440c9727b2034c8caa92f8752709c1d5c4115c5dee5b7eb95d840e2,125
5f93a7fa8042f898685d82fc2606d0b062b1bbbf41c8b9b261634841b6171c8d,94
48a0b1ffc68ac5b1704cc974fee80060b52aeb258998f346bed30e18bcd72c57,89
009391b5b770610e104e1742e171cd9c57f5ec5d7078edc951e9614b2fb247df,79
277a84acf1246ec13163278db43a3a12435eb7abdb181a4356bd00f73b639fc2,70
0f7606d3c2ec4c5d44f6ef8b7c754686bad073973a1360874e9c02ab3bc0388e,69
633388db39a402837effea8401c9bc859ccd4db05042ce9917ae9ce8ee747df1,64
a81036f8bec33f1325c29d7badb1ce62651c9b131bf8d7750628365643f77562,59
965a6f20893f2bf47e9db08d9ba57e845af57cd16eb9d5125ae5840dbdf2bb85,58
ccab3308687b343191c9034087b6d12038e8bbace54069bc2017c761af24cc8b,57
020e7ccdb43aa5fda80fa1a147fa2e83000989a302b05471ecce81f251eb913b,57
2b13c83282e152dfee0ae1fa616f1b47f263293a5150094c1f1d4d97604c12ac,56
a359b3663b7da5ecb4a48797536165029221e8db4dbc46300d20b1b02a36794e,56
0364db7148c4b6602669bb8ea5fb088a55e3ec45c17ed0db42e688c5a22fcb24,54
dadc4bfe9a7133bf0a3068a6c6285064df6d5111a12dfb96bfd701c357771687,45
a8052c3ecc40a8c0360eeb2c0c3ba30b0ef3e37cfd6db09ffaef0b76b9fdb9f3,45
a66924cfb627179276c223d9628671604f38ef45dd28b37fc4ff3d27d7914092,44
d5e5d063e5c21cf30cc77b3896918a6ff593b1508dda7494b08438e291ec15cb,44
59cc4f76716725cb58f0170c1c2f10127c2b231833743b05e3cf178020ae0409,42
0180d13eb363f0e2c477e51d69e0396e2b6cecc9c49ce6df1e45dfb59f2ddaa4,39
d4e71a9881d8131dc9b6b02333b31daa6cb20fe8dfe775a6235dc3830c0048a7,35
54a4dafe30172efbdd98565bc1f9880e71a873f2e1a43a2099f5ac54de1dfc56,34
78e8993e7853a0a1ed22db41d060cdcdc7315c278ff399f9d8fc3a9f9c076d1b,34
4830987a780979cc2fbb02cb716c444c6d94dc2a9ffbc847fff9b7a543472589,33
e6972202e8ab912b5138d98e7ebef5fcf26d7d2e87f6357f7d64f3d099069535,33
35f0c7b25ac7737d5f5428fbcd460bfac71be4b9e7f618f4c3d4ee1fb22c93b2,32
74847d9b0d424d2623bba27a3d3e160c29f37bb3059096a1147a3f70fe200bd8,30
94c459c4dde8452fc5e57bea875c0cbd902953ad03989b3d9942a3ef27ea9dfd,29
