conv_id,conversation_hash,user_mention,asst_mention,user_codeish,asst_codeish
C026,08f7f5d0ee7dbaa7f2ed119c0108c7ac,0,1,0,1
C039,0d6691354471faee1f905d1ff3d30069,1,1,1,1
C050,0f53f2a795661b44fb7b62b5188176b1,0,1,1,1
C060,12a62edb6a708c7f03f0acfe974159c7,1,1,1,1
C063,1307ae859c29245715e14515fff13a73,0,1,0,1
C065,136d89c8bf5e3d17af516130b6753972,0,1,0,1
C067,13b258fcbf9960d86b0ecf990e116023,1,1,1,1
C077,163d0f28ef49ef952f3cc99087e67a9a,0,1,0,1
C081,17981c4a17a205d9d3766ee059f90f70,0,1,0,1
C117,20d081c3ad0c66a27eef999e8eb4232b,1,1,1,1
C123,22d1b29a7ab6ee6985ee550de4daf754,0,1,0,1
C127,23611d55eeec94eaa9ee7740626d7527,1,1,1,1
C146,273213c616abf05d3718231f49c289fe,0,1,0,1
C176,2d3b57917f0884ee8a651c9fafc86ab5,0,1,0,1
C177,2df8be36ab87a57db03389d09f5140d5,1,1,1,1
C185,3011d982ac1a7a2a4f3e54938c3c1d23,1,1,1,1
C211,38ff2f8d4e9fe297c3ee240b680b5657,0,1,0,1
C220,3ca7a94077dce72ca2b477955e0fcc39,0,1,0,1
C224,3d69c0a55f22a07852addf64408ae378,0,1,0,1
C251,4777e8252a7b7db71f6394dc92f0f777,1,1,1,1
C252,47bcc50039a59ba34d720232f85af48b,0,1,0,1
C257,491059f720125a9bff55a6af8947a76d,1,1,1,1
C271,4abcdc2ec5861d0ffbb42409c2528c58,0,1,0,1
C280,4c42ff499a58ac7b2de9e598f36579d7,1,1,1,1
C290,4fa6160a1871cbe50e340bfce69d9205,0,1,0,1
C296,51359aae5548a9d9ddb5978f35145b26,1,1,1,1
C301,532984c155aeb0031accccc6b692c939,0,1,0,1
C304,5355d39b0e95e615be7f4771d1d57324,0,1,0,1
C323,59f755416106ba62a182a6ea4af71e86,0,1,0,1
C335,5d24f47d93c6f7a1f02a26c2ac7b721e,0,1,0,1
C360,6271799d53a8e9ac70c624b733ef8344,1,1,1,1
C362,62d3af5995644516af6e807acd47b5eb,1,1,1,1
C390,69678a04112c2134da93a7d4b04723f1,1,1,1,1
C434,7511706328f5b85e723b3401cd929011,0,1,1,1
C445,7882cd3ce64f501e0fe91f65e5e68189,0,1,0,1
C453,79fcd2bbb8fbc36c9d7a93e08e378cca,1,1,1,1
C455,7a457ac27a006a467135657d1245c515,1,1,1,1
C457,7a97ebcbb78034a9935df489115f4481,0,1,0,1
C486,8058eb362a70551b590efbfbf63e453c,0,1,0,1
C488,80d69c566b907314d7d34b1e04c536a1,0,1,0,1
C508,882c4eb3b8849b86f115deff47617c09,0,1,0,1
C516,8af8871377e20f780a361febe0fe80a4,1,1,1,1
C553,93bec7018b4953dec816686d5a3353ba,1,1,1,1
C573,9bc4a0d5aad2299d268831de41ec5611,0,1,0,1
C575,9c1b86aa14b95ba3c4226c2c0c1de8ab,0,1,1,1
C576,9d1a4fce1c4bc659cd5fcb522f1dd56e,1,1,1,1
C579,9e8478e03e0f37b3498848f969489f04,0,1,0,1
C587,a0eeffa8dbf0466232655e61d6e9a142,0,1,0,1
C590,a11b1bd8857c1ed89d143a64686d0e3b,0,1,0,1
C592,a181d567a9da75cb821f19fbb34f607b,0,1,1,1
C607,a4e93efce7cae7b41fc2bfa36452ecfa,0,1,1,1
C614,a63b7242b9b2f93b8af8493a1e18ee20,1,1,1,1
C615,a6eae8c4bdb22fdc7365aaff433da74c,0,1,0,1
C621,a87ff7e8a9e2fe48aac998fe20163c5c,0,1,1,1
C640,af3bfd7c99cde2a3ad46f75c23940317,0,1,0,1
C652,b20c379cd9681ab0a4239fd85743bafc,0,1,0,1
C656,b2b5ae17c94c56d33fea4ca83ada7582,1,1,1,1
C666,b4792e54dce80cf4b6d208d14d8f1abd,0,1,0,1
C678,b669ae4e4278abd5167099c6daa8d8c6,0,1,0,1
C682,b7832ba410b7200d18422dcfa5c716ef,0,1,0,1
C687,b8f05835ec7a336aa1a064855d17facc,0,1,0,1
C689,b934aca676fe97667eab78208d07d297,0,1,1,1
C699,bbbae0f9a20cae245bbbc7f99954daf4,0,1,1,1
C704,bd2c5a80bd09879988dc0a5c1f27a82a,0,1,0,1
C720,c1b2ad6319de4fcea91dfcd618639b3d,1,1,1,1
C721,c1c0a59d0196cd69cd9dd047c7f5f38f,1,1,1,1
C729,c44f4aef59bdab5876c2135b068b0bf0,0,1,1,1
C771,cf76b95d537c3ea5d69cf1457958da7a,0,1,0,1
C815,dbf508151722875698dd8016d050937d,0,1,0,1
C816,dc2485eabe8abbb71d8c9992c84811de,0,1,0,1
C834,e0afd19d761ecb8ffb926aef4507ca9e,0,1,1,1
C840,e2a7021238a7d4ad17410556d4387ee4,1,1,1,1
C847,e3f0191e8668941f36d26e89f6060ba8,1,1,1,1
C857,e753a2ba086ebb00148ce5e515db4aa4,1,1,1,1
C868,eab774a84a96d077d069bb67720639b9,1,1,1,1
C871,eb52f70168fa5499f1c6ef1d8b31d86c,1,1,1,1
C875,ecf2783ee56249828750c5f3e57108d7,0,1,0,1
C896,f21cfe640f84f395deddfb8e66081a5b,0,1,0,1
C897,f29b358ae3c644ad75eed9b49efebcb7,0,1,1,1
C904,f66b56ff98bd2154270f58ac5e2d6add,0,1,0,1
C920,f926e4e52bc25442cc0f331ada660856,1,1,1,1
C931,fb9a0c5087b5857390d5069839d54e42,0,1,0,1
C932,fbb4383cc3cda44262c5751d4525c8b8,0,1,0,1
C948,ff725fa9b02adbf8b2637367b551afb0,1,1,1,1
C951,ff98a3c0f644262612c34a86f1f1333a,0,1,0,1
