conversation_hash,cohort,label,opus,filter_flagged,anchor_intended,majority,Elle,Sebastian,Grischa
279527db70a671b914aa457cfa3485dc,anchor,Algebra,0,0,0,,,,
279527db70a671b914aa457cfa3485dc,anchor,Clear session,0,0,0,,,,
279527db70a671b914aa457cfa3485dc,anchor,Code Execution,1,0,1,,,,
279527db70a671b914aa457cfa3485dc,anchor,Continuous training,0,0,0,,,,
279527db70a671b914aa457cfa3485dc,anchor,Internet Access,0,0,0,,,,
279527db70a671b914aa457cfa3485dc,anchor,Local machine access,1,0,0,,,,
279527db70a671b914aa457cfa3485dc,anchor,Non-text output,0,0,0,,,,
279527db70a671b914aa457cfa3485dc,anchor,Session memory,0,0,0,,,,
ec9ec3cf14894e889ec851eab76a27df,anchor,Algebra,0,0,0,,,,
ec9ec3cf14894e889ec851eab76a27df,anchor,Clear session,0,0,0,,,,
ec9ec3cf14894e889ec851eab76a27df,anchor,Code Execution,1,0,1,,,,
ec9ec3cf14894e889ec851eab76a27df,anchor,Continuous training,0,0,0,,,,
ec9ec3cf14894e889ec851eab76a27df,anchor,Internet Access,0,0,0,,,,
ec9ec3cf14894e889ec851eab76a27df,anchor,Local machine access,0,0,0,,,,
ec9ec3cf14894e889ec851eab76a27df,anchor,Non-text output,0,0,0,,,,
ec9ec3cf14894e889ec851eab76a27df,anchor,Session memory,0,0,0,,,,
a5bec537d390956972d94d29ff96f417,anchor,Algebra,0,0,0,,,,
a5bec537d390956972d94d29ff96f417,anchor,Clear session,0,0,0,,,,
a5bec537d390956972d94d29ff96f417,anchor,Code Execution,0,0,0,,,,
a5bec537d390956972d94d29ff96f417,anchor,Continuous training,0,0,0,,,,
a5bec537d390956972d94d29ff96f417,anchor,Internet Access,1,0,1,,,,
a5bec537d390956972d94d29ff96f417,anchor,Local machine access,0,0,0,,,,
a5bec537d390956972d94d29ff96f417,anchor,Non-text output,0,0,0,,,,
a5bec537d390956972d94d29ff96f417,anchor,Session memory,0,0,0,,,,
df0f16f89a0dc36a4533cbffea72f89e,anchor,Algebra,0,0,0,,,,
df0f16f89a0dc36a4533cbffea72f89e,anchor,Clear session,0,0,0,,,,
df0f16f89a0dc36a4533cbffea72f89e,anchor,Code Execution,0,0,0,,,,
df0f16f89a0dc36a4533cbffea72f89e,anchor,Continuous training,0,0,0,,,,
df0f16f89a0dc36a4533cbffea72f89e,anchor,Internet Access,1,0,1,,,,
df0f16f89a0dc36a4533cbffea72f89e,anchor,Local machine access,0,0,0,,,,
df0f16f89a0dc36a4533cbffea72f89e,anchor,Non-text output,0,0,0,,,,
df0f16f89a0dc36a4533cbffea72f89e,anchor,Session memory,0,0,0,,,,
1c0520993fa2ea37fa307edb4f288080,anchor,Algebra,0,0,0,,,,
1c0520993fa2ea37fa307edb4f288080,anchor,Clear session,0,0,0,,,,
1c0520993fa2ea37fa307edb4f288080,anchor,Code Execution,0,0,0,,,,
1c0520993fa2ea37fa307edb4f288080,anchor,Continuous training,0,0,0,,,,
1c0520993fa2ea37fa307edb4f288080,anchor,Internet Access,1,0,0,,,,
1c0520993fa2ea37fa307edb4f288080,anchor,Local machine access,0,0,0,,,,
1c0520993fa2ea37fa307edb4f288080,anchor,Non-text output,0,0,1,,,,
1c0520993fa2ea37fa307edb4f288080,anchor,Session memory,0,0,0,,,,
41513ee525925b92a208d8954d0d3a39,anchor,Algebra,0,0,0,,,,
41513ee525925b92a208d8954d0d3a39,anchor,Clear session,0,0,0,,,,
41513ee525925b92a208d8954d0d3a39,anchor,Code Execution,0,0,0,,,,
41513ee525925b92a208d8954d0d3a39,anchor,Continuous training,0,0,0,,,,
41513ee525925b92a208d8954d0d3a39,anchor,Internet Access,1,0,0,,,,
41513ee525925b92a208d8954d0d3a39,anchor,Local machine access,0,0,0,,,,
41513ee525925b92a208d8954d0d3a39,anchor,Non-text output,1,0,1,,,,
41513ee525925b92a208d8954d0d3a39,anchor,Session memory,0,0,0,,,,
2848cb483c2313e95938136ff8d2f137,anchor,Algebra,0,0,0,,,,
2848cb483c2313e95938136ff8d2f137,anchor,Clear session,0,0,0,,,,
2848cb483c2313e95938136ff8d2f137,anchor,Code Execution,0,0,0,,,,
2848cb483c2313e95938136ff8d2f137,anchor,Continuous training,0,0,0,,,,
2848cb483c2313e95938136ff8d2f137,anchor,Internet Access,0,0,0,,,,
2848cb483c2313e95938136ff8d2f137,anchor,Local machine access,0,0,0,,,,
2848cb483c2313e95938136ff8d2f137,anchor,Non-text output,0,0,0,,,,
2848cb483c2313e95938136ff8d2f137,anchor,Session memory,1,0,1,,,,
673d045f441ad03422b93f9f5e1dcd68,anchor,Algebra,0,0,0,,,,
673d045f441ad03422b93f9f5e1dcd68,anchor,Clear session,0,0,0,,,,
673d045f441ad03422b93f9f5e1dcd68,anchor,Code Execution,0,0,0,,,,
673d045f441ad03422b93f9f5e1dcd68,anchor,Continuous training,1,0,1,,,,
673d045f441ad03422b93f9f5e1dcd68,anchor,Internet Access,0,0,0,,,,
673d045f441ad03422b93f9f5e1dcd68,anchor,Local machine access,0,0,0,,,,
673d045f441ad03422b93f9f5e1dcd68,anchor,Non-text output,0,0,0,,,,
673d045f441ad03422b93f9f5e1dcd68,anchor,Session memory,0,0,0,,,,
3d89d0c018902a1e51ebf20fb63ec440,anchor,Algebra,0,0,0,,,,
3d89d0c018902a1e51ebf20fb63ec440,anchor,Clear session,0,0,0,,,,
3d89d0c018902a1e51ebf20fb63ec440,anchor,Code Execution,0,0,0,,,,
3d89d0c018902a1e51ebf20fb63ec440,anchor,Continuous training,1,0,1,,,,
3d89d0c018902a1e51ebf20fb63ec440,anchor,Internet Access,0,0,0,,,,
3d89d0c018902a1e51ebf20fb63ec440,anchor,Local machine access,0,0,0,,,,
3d89d0c018902a1e51ebf20fb63ec440,anchor,Non-text output,0,0,0,,,,
3d89d0c018902a1e51ebf20fb63ec440,anchor,Session memory,0,0,0,,,,
bbbae0f9a20cae245bbbc7f99954daf4,anchor,Algebra,1,0,1,,,,
bbbae0f9a20cae245bbbc7f99954daf4,anchor,Clear session,0,0,0,,,,
bbbae0f9a20cae245bbbc7f99954daf4,anchor,Code Execution,0,0,0,,,,
bbbae0f9a20cae245bbbc7f99954daf4,anchor,Continuous training,0,0,0,,,,
bbbae0f9a20cae245bbbc7f99954daf4,anchor,Internet Access,0,0,0,,,,
bbbae0f9a20cae245bbbc7f99954daf4,anchor,Local machine access,0,0,0,,,,
bbbae0f9a20cae245bbbc7f99954daf4,anchor,Non-text output,0,0,0,,,,
bbbae0f9a20cae245bbbc7f99954daf4,anchor,Session memory,0,0,0,,,,
61041b2ac6e5b38bc0e76dc045d388c8,anchor,Algebra,0,0,0,,,,
61041b2ac6e5b38bc0e76dc045d388c8,anchor,Clear session,0,0,0,,,,
61041b2ac6e5b38bc0e76dc045d388c8,anchor,Code Execution,0,0,0,,,,
61041b2ac6e5b38bc0e76dc045d388c8,anchor,Continuous training,0,0,0,,,,
61041b2ac6e5b38bc0e76dc045d388c8,anchor,Internet Access,0,0,0,,,,
61041b2ac6e5b38bc0e76dc045d388c8,anchor,Local machine access,1,0,1,,,,
61041b2ac6e5b38bc0e76dc045d388c8,anchor,Non-text output,0,0,0,,,,
61041b2ac6e5b38bc0e76dc045d388c8,anchor,Session memory,0,0,0,,,,
f0aaa97938fdc477cfd6939bb3d9d5bc,anchor,Algebra,0,0,0,,,,
f0aaa97938fdc477cfd6939bb3d9d5bc,anchor,Clear session,1,0,1,,,,
f0aaa97938fdc477cfd6939bb3d9d5bc,anchor,Code Execution,0,0,0,,,,
f0aaa97938fdc477cfd6939bb3d9d5bc,anchor,Continuous training,0,0,0,,,,
f0aaa97938fdc477cfd6939bb3d9d5bc,anchor,Internet Access,1,0,0,,,,
f0aaa97938fdc477cfd6939bb3d9d5bc,anchor,Local machine access,0,0,0,,,,
f0aaa97938fdc477cfd6939bb3d9d5bc,anchor,Non-text output,0,0,0,,,,
f0aaa97938fdc477cfd6939bb3d9d5bc,anchor,Session memory,0,0,0,,,,
4c3c7b034a34d98009d921675e63bd40,sample,Algebra,0,0,0,0,0,0,1
4c3c7b034a34d98009d921675e63bd40,sample,Clear session,0,0,0,0,0,0,0
4c3c7b034a34d98009d921675e63bd40,sample,Code Execution,1,1,0,1,1,1,1
4c3c7b034a34d98009d921675e63bd40,sample,Continuous training,0,0,0,0,0,0,0
4c3c7b034a34d98009d921675e63bd40,sample,Internet Access,0,0,0,0,0,0,0
4c3c7b034a34d98009d921675e63bd40,sample,Local machine access,0,0,0,0,0,0,0
4c3c7b034a34d98009d921675e63bd40,sample,Non-text output,0,0,0,0,0,0,0
4c3c7b034a34d98009d921675e63bd40,sample,Session memory,0,0,0,0,0,0,0
afd173f4de84ee096327d3a972177cd1,sample,Algebra,0,1,0,0,0,0,1
afd173f4de84ee096327d3a972177cd1,sample,Clear session,0,0,0,0,0,0,0
afd173f4de84ee096327d3a972177cd1,sample,Code Execution,0,0,0,0,0,0,0
afd173f4de84ee096327d3a972177cd1,sample,Continuous training,0,0,0,0,0,0,0
afd173f4de84ee096327d3a972177cd1,sample,Internet Access,0,0,0,0,0,0,0
